date,open,high,low,close,volume
2020-01-02,4.35896030261852,4.423729338773592,4.35896030261852,4.404298782348633,239292513
2020-01-03,4.423729367202492,4.436683174516753,4.35248327255249,4.35248327255249,277420033
2020-01-06,4.339529963130217,4.346007021952051,4.261807110327188,4.307145595550537,260518248
2020-01-07,4.300668159307863,4.339529582298951,4.274760543980471,4.281237602233887,204806676
2020-01-08,4.235899398123322,4.268284073822899,4.197037972589723,4.2488532066345215,267421237
2020-01-09,4.3071450697340214,4.346006491391331,4.274760397264701,4.320098876953125,215859440
2020-01-10,4.358960330631185,4.3719141379454465,4.326575657923968,4.35248327255249,223748680
2020-01-13,4.3654370518124646,4.423729338773592,4.3654370518124646,4.404298782348633,481124394
2020-01-14,4.4302061942074,4.4302061942074,4.3589601032735015,4.371913909912109,251178559
2020-01-15,4.36543737818769,4.391345303429811,4.339529761788718,4.3589606285095215,156885440
2020-01-16,4.333052635192871,4.371914056410905,4.3200988281201935,4.333052635192871,270617598
2020-01-17,4.339529662902382,4.384868144989014,4.320099105467498,4.384868144989014,218738775
2020-01-20,4.358960830752556,4.384868448353566,4.307145595550537,4.307145595550537,236940433
2020-01-21,4.268283894533518,4.300668260029632,4.164653121953777,4.171130180358887,423025861
2020-01-22,4.177607076923315,4.242376427880948,4.158176518710548,4.216468811035156,200650403
2020-01-23,4.171130359922955,4.184084168447682,4.132268934348776,4.164653301239014,210787793
2020-01-24,4.171130359922955,4.17760710976374,4.132268934348776,4.164653301239014,69900162
2020-01-29,4.009207725524902,4.041592093437611,3.989776857702744,4.009207725524902,290599534
2020-01-30,3.9768224797152816,3.9897762867954047,3.8731920230742958,3.886145830154419,341264626
2020-01-31,3.9120537250198693,3.937961341039089,3.8537614345550533,3.8537614345550537,296736460
2020-02-03,3.8213770872950463,3.9379613599411334,3.8213770872950463,3.89262318611145,432238892
2020-02-04,3.8602382582014334,3.9768225231972565,3.8602382582014334,3.9379611015319824,558324771
2020-02-05,3.905576885931783,4.0027302893558,3.892623078219038,3.983299732208252,490712737
2020-02-06,4.015684176708741,4.112837890902676,4.009207427145489,4.086930274963379,335099314
2020-02-07,4.086930572043195,4.125791998776985,4.048069145309404,4.09340763092041,311101756
2020-02-10,4.035114490852963,4.119314385553943,4.015683627136159,4.067499160766602,401675657
2020-02-11,4.119315125824049,4.203514726813193,4.086930450090655,4.164653301239014,423473343
2020-02-12,4.197037172200103,4.242375647764675,4.151698696635531,4.209990978240967,387813044
2020-02-13,4.197037796293036,4.197037796293036,4.158176372391812,4.171130180358887,345744450
2020-02-14,4.177607076923315,4.229422619458052,4.177607076923315,4.216468811035156,327153275
2020-02-17,4.184084213735036,4.261807065724645,4.184084213735036,4.235899448394775,363136907
2020-02-18,4.209991684460849,4.248853109102386,4.190560817718506,4.190560817718506,332570849
2020-02-19,4.197038316426732,4.268284423496654,4.184084506854307,4.242376804351807,328128635
2020-02-20,4.2229459355715795,4.268284423496654,4.184084506854307,4.242376804351807,358043950
2020-02-21,4.209991554224874,4.242376228179244,4.164653072457383,4.184083938598633,346636865
2020-02-24,4.132269006662989,4.151699565368533,4.099884330362867,4.106361389160156,381575057
2020-02-25,4.093407530214753,4.145222764585053,4.0804537216221775,4.119315147399902,413014189
2020-02-26,3.996253909664351,4.112838189865722,3.996253909664351,4.09340763092041,446689641
2020-02-27,4.054545908655215,4.209991604260111,4.054545908655215,4.171130180358887,466210473
2020-02-28,4.093407681752789,4.132269108969165,4.0545462545364135,4.080453872680664,602262893
2020-03-02,4.080453524589364,4.184083988325961,4.080453524589364,4.171130180358887,420255076
2020-03-03,4.151698968861121,4.209991254288763,4.151698968861121,4.177606582641602,462022610
2020-03-04,4.164653351680889,4.209991836488146,4.119315175716793,4.151699542999268,401145520
2020-03-05,4.132268386950589,4.248852648229305,4.119314580141842,4.229422092437744,475481356
2020-03-06,4.145222465005413,4.158176272661803,4.099883983786482,4.112837791442871,473871973
2020-03-09,3.9509148647421974,4.041591514284404,3.9509148647421974,4.035114765167236,687347920
2020-03-10,4.048069073546294,4.177607160362511,4.035115264864673,4.151699542999268,633437668
2020-03-11,4.1193146060570776,4.190560389531843,4.106360799166837,4.177606582641602,578382106
2020-03-12,4.061023082082931,4.119315378440547,4.02216165412558,4.099884510040283,666062512
2020-03-13,3.82137728778583,4.151699565368533,3.78251586153158,4.106361389160156,1042913308
2020-03-16,3.989776857702744,4.09988438806092,3.931484871922602,4.009207725524902,838110880
2020-03-17,3.950915557894345,4.080453960238382,3.9120541298440874,4.015684604644775,756408701
